MOZART variable  ; Description ; CMAQ variable; coef
BIGALD_VMR_inst ; unsaturated dicarbonyl, oxidation product of toluene;OPEN;1
BIGALK_VMR_inst ; lumped alkanes C>3                   ; PAR;1
BIGENE_VMR_inst ; lumped alkenes C>3                   ; OLE;1
C10H16_VMR_inst ; lumped monoterpenes, as alpha-pinene; TERP;1
C2H4_VMR_inst   ; ethene                              ; ETH;1
C2H5OH_VMR_inst ; ethanol                             ; ETOH;1
C2H6_VMR_inst   ; ethane                              ; ETHA;1
C3H6_VMR_inst   ; propene                             ; OLE;1
C3H8_VMR_inst   ; propane                             ; PAR;1
CB1_VMR_inst    ; black carbon, hydrophobic           ;AECJ;1
CB2_VMR_inst    ; black carbon, hydrophylic           ;AECJ;1
CH2O_VMR_inst   ; formaldehyde                        ; FORM;1
CH3CHO_VMR_inst ; acetaldehyde                        ; ALD2;1
CH3COCH3_VMR_inst ; acetone                           ; ALD2;1
CH3COCHO_VMR_inst ; methylglyoxal                     ; MGLY;1
CH3COOH_VMR_inst  ; acetic acid                       ; AACD;1
CH3COOOH_VMR_inst ; peracetic acid                    ; PACD;1
CH3O2_VMR_inst  ; methylperoxy radical                ; MEO2;1
CH3OH_VMR_inst  ; methanol                            ; MEOH;1
CH3OOH_VMR_inst ; methyl hydroperoxide                ; MEPX;1
CO_VMR_inst     ; carbon monoxide                     ; CO;1
CRESOL_VMR_inst ; C6H4(CH3)(OH), lumped aromatics     ; CRES;1
DUST1           ; Dust, 0.05-0.5um; ASO4J,ANO3J,ACLJ,ANH4J,ANAJ,ACAJ,AKJ,APOCJ,APNCOMJ,AFEJ,AALJ,ASIJ,ATIJ,AMNJ,AH2OJ,AOTHRJ;0.02250, 0.00020, 0.00945, 0.00005, 0.03935, 0.07940, 0.03770, 0.01075, 0.00430, 0.03355, 0.05695, 0.19425, 0.00280, 0.00115, 0.00541, 0.50219
DUST2           ; Dust, 0.5-1.25um; ASO4J,ANO3J,ACLJ,ANH4J,ANAJ,ACAJ,AKJ,APOCJ,APNCOMJ,AFEJ,AALJ,ASIJ,ATIJ,AMNJ,AH2OJ,AOTHRJ;0.02250, 0.00020, 0.00945, 0.00005, 0.03935, 0.07940, 0.03770, 0.01075, 0.00430, 0.03355, 0.05695, 0.19425, 0.00280, 0.00115, 0.00541, 0.50219
DUST3           ; Dust, 1.25-2.5um; ASO4J,ANO3J,ACLJ,ANH4J,ANAJ,ACAJ,AKJ,APOCJ,APNCOMJ,AFEJ,AALJ,ASIJ,ATIJ,AMNJ,AH2OJ,AOTHRJ;0.02250, 0.00020, 0.00945, 0.00005, 0.03935, 0.07940, 0.03770, 0.01075, 0.00430, 0.03355, 0.05695, 0.19425, 0.00280, 0.00115, 0.00541, 0.50219
DUST4           ; Dust, 2.5-5.0um; ASO4K,ANO3K,ACLK,ASOIL;0.02655, 0.00160, 0.01190, 0.95995
GLYALD_VMR_inst ; glycolaldehyde                      ; ALDX;1
H2O2_VMR_inst   ; hydrogen peroxide                   ; H2O2;1
HCOOH_VMR_inst  ; Formic acid                         ; FACD;1
HNO3_VMR_inst   ; nitric acid                         ; HNO3;1
HO2NO2_VMR_inst ; peroxynitric acid                   ; PNA;1
HO2_VMR_inst    ; hydroperoxyl radical                ; HO2;1
HYDRALD_VMR_inst ; lumped unsaturated hydroxycarbonyl ; ISPD;1
ISOPNO3_VMR_inst ; peroxy radical from NO3+ISOP       ;ISPD;1
ISOP_VMR_inst   ; isoprene                            ; ISOP;1
MACR_VMR_inst   ; methacrolein                        ; ISPD;1
MEK_VMR_inst    ; methyl ethyl ketone                 ; ISPD;1
MPAN_VMR_inst   ; methacryloyl peroxynitrate          ; ISPD;1
